COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
1,Erindale NHD,24,3220-3270,The Credit Woodlands,Medium Density,RM4,,0.93,2.29808,26,,,0,0,,,Townhouse,PCC,2,2,26,0,28,11,,1
2,Erindale NHD,23,3065,Lenester Dr,Medium Density,RM4,,1.54,3.805423,74,,,0,0,,,Townhouse,PCC,11,3,59,0,38,16,,2
3,Erindale NHD,23,830,Westlock Rd,Medium Density,RM4,,0.51,1.260237,28,,,0,0,,,Townhouse,PCC,2,3,22,0,43,17,,3
4,Erindale NHD,23,806,Stainton Dr,Medium Density,RM4,,0.48,1.186106,25,2321,24983.036060,0,0,2321,24983.036060,Townhouse,PCC,2,2,20,0,42,17,0.483542,4
5,Erindale NHD,23,830,Stainton Dr,Medium Density,RM4,,1.64,4.052528,156,7990,86003.644180,0,0,7990,86003.644180,Townhouse,PCC,10,3,69,0,42,17,0.487195,5
6,Erindale NHD,23,3025,Cedarglen Gate,Medium Density,RM4,,2.24,5.535161,214,10907,117401.970800,0,0,10907,117401.970800,Townhouse,PCC,13,3,95,0,42,17,0.486920,6
7,Erindale NHD,24,3400,The Credit Woodlands,Medium Density,RM4,,2.33,5.757555,135,7292,78490.434710,0,0,7292,78490.434710,Townhouse,RNTL,9,2,67,0,29,12,0.312961,7
8,Erindale NHD,24,1300,Forestwood Dr,Medium Density,RM4,The Forestwood,1.13,2.792291,80,4226,45488.285390,0,0,4226,45488.285390,Townhouse,RNTL,5,3,39,0,35,14,0.373982,8
9,Erindale NHD,24,33083360,The Credit Woodlands,Medium Density,RM4,,1.29,3.187659,40,,,0,0,,,Townhouse,PCC,2,2,40,0,31,13,,9
24,Meadowvale NHD,54W,7251,Copenhagen Rd,Medium Density,RM4,,2.54,6.276477,132,10264,110480.776400,0,0,10264,110480.776400,Townhouse,PCC,9,3,87,0,34,14,0.404094,10
26,Meadowvale NHD,54W,7430,Copenhagen Rd,Medium Density,RM4,,3.24,8.006214,252,13443,144699.247600,0,0,13443,144699.247600,Townhouse,PCC,8,3,112,0,35,14,0.414907,11
28,Meadowvale NHD,54W,7080,Copenhagen Rd,Medium Density,RM4,,2.64,6.523582,203,11287,121492.256800,0,0,11287,121492.256800,Townhouse,PCC,8,3,90,0,34,14,0.427538,12
29,Meadowvale NHD,54W,7030,Copenhagen Rd,Medium Density,RM4,Park Place,1.74,4.299634,131,8138,87596.702920,0,0,8138,87596.702920,Townhouse,PCC,7,3,59,0,34,14,0.467701,13
30,Meadowvale NHD,46W,7077,Estoril Rd,Medium Density,RM4,,0.94,2.322791,72,4524,48695.930690,0,0,4524,48695.930690,Townhouse,PCC,1,3,32,0,34,14,0.481277,14
32,Meadowvale NHD,46W,6855,Glen Erin Dr,Medium Density,RM4,Treetops,1.44,3.558317,75,5738,61763.317930,0,0,5738,61763.317930,Townhouse,PCC,8,2,49,0,34,14,0.398472,15
33,Meadowvale NHD,46W,6860,Glen Erin Dr,Medium Density,RM4,,1.25,3.088817,97,5510,59309.146360,0,0,5510,59309.146360,Townhouse,PCC,6,3,43,0,34,14,0.440800,16
34,Meadowvale NHD,46W,2779,Gananoque Dr,Medium Density,RM4,,3.15,7.78382,180,12324,132654.431900,0,0,12324,132654.431900,Townhouse,PCC,11,2,120,0,38,15,0.391238,17
35,Meadowvale NHD,46W,2825,Gananoque Dr,Medium Density,RM4,,2.04,5.04095,158,,,0,0,,,Townhouse,PCC,9,2,70,0,34,14,,18
36,Meadowvale NHD,46W,6780,Formentera Ave,Medium Density,RM4,,2.44,6.029371,168,,,0,0,,,Townhouse,PCC,12,2,84,0,34,14,,19
37,Meadowvale NHD,46W,67776797,Formentera Ave,Medium Density,RM4,,2.97,7.33903,144,11707,126013.099200,0,0,11707,126013.099200,Townhouse,PCC,14,2,103,0,35,14,0.394175,20
