BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID
City Operated,BRAE BEN GOLF COURSE,5700,TERRY FOX,WAY,,,,MISSISSAUGA,ON,L5V 2W2,1
City Operated,BRAEBEN ACADEMY CLUBHOUSE,5700,TERRY FOX,WAY,,,,MISSISSAUGA,ON,L5V 2W2,2
City Operated,BURNHAMTHORPE COMMUNITY CENTRE,1500,GULLEDEN,DR,,,,MISSISSAUGA,ON,L4X2T7,3
City Operated,C BANQUETS / CITY OF MISSISSAUGA,300,CITY CENTRE,DR,,,,MISSISSAUGA,ON,L5B3C1,4
City Operated,C CAFE,300,CITY CENTRE,DR,,,GROUND FLOOR,MISSISSAUGA,ON,L5B 3C1,5
City Operated,CAWTHRA ARENA / SNACK BAR,1399,CAWTHRA,RD,,,,MISSISSAUGA,ON,L5G 4L1,6
City Operated,CITY OF MISSISSAUGA/PUBLIC MARINA,135,LAKEFRONT PROM,,,,,MISSISSAUGA,ON,L5E3G9,7
City Operated,ERIN MILLS TWIN ARENA,3205,UNITY,DR,,,,MISSISSAUGA,ON,,8
City Operated,HURON PARK ARENA,830,PAISLEY,BL,W,,,MISSISSAUGA,ON,L5C3P5,9
City Operated,ICEBREAKERS PUB,705,MATHESON,BLVD,E,,,MISSISSAUGA,ON,L4Z3X9,10
City Operated,MEADOWVALE FOUR RINKS,2160,TORQUAY,MEWS,,,,MISSISSAUGA,ON,L5N2M6,11
City Operated,MISSISSAUGA VALLEY COMMUNITY CENTRE,1275,MISSISSAUGA VALLEY,BL,,,,MISSISSAUGA,ON,,12
City Operated,PORT CREDIT ARENA,40,STAVEBANK,RD,N,,,MISSISSAUGA,ON,,13
City Operated,TIME OUT,705,MATHESON,BLVD,E,,,MISSISSAUGA,ON,L4Z3X9,14
City Operated,TOMKEN TWIN ARENA,4495,TOMKEN,RD,,,,MISSISSAUGA,ON,L4W1J9,15
City Operated Facility,CLARKSON COMMUNITY CENTRE,2475,TRUSCOTT,DR,,,,MISSISSAUGA,ON,,16
City Operated Facility,LAKEVIEW GOLF COURSE,1190,DIXIE,RD,,,,MISSISSAUGA,ON,L5E2P4,17
City Operated Facility,MEADOWVALE THEATRE SNACK BAR,6315,MONTEVIDEO,RD,,,,MISSISSAUGA,ON,L5N 4G7,18
Lunch Counter,7-ELEVEN #3700,6145,VISCOUNT,RD,,UNIT,403,MISSISSAUGA,ON,L4V 1T2,19
Lunch Counter,7-ELEVEN (CANADA STORE #33000),6980,LISGAR,DR,,,,MISSISSAUGA,ON,L5N 8C8,20
Lunch Counter,7-ELEVEN (CANADA STORE #33377),3965,THOMAS,ST,,,,MISSISSAUGA,ON,L5M 7B8,21
Lunch Counter,7-ELEVEN CANADA / 37001H,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,22
Lunch Counter,7-ELEVEN CANADA STORE 33207,2330,BATTLEFORD,RD,,,,MISSISSAUGA,ON,L5N3K6,23
Lunch Counter,A CATERED AFFAIR,1100,BURNHAMTHORPE,RD,W,Unit,26,MISSISSAUGA,ON,L5C 4G4,24
Lunch Counter,AFGHAN CHAPLEE KABOB,1400,AIMCO,BLVD,,UNIT,H430,MISSISSAUGA,ON,L4W 1B2,25
Lunch Counter,APPLEWOOD VALUMART,1125,BLOOR,ST,,,,MISSISSAUGA,ON,L4Y 2N6,26
