LicenceNumber,House,Street,Unit,City,PostalCode,LicenceType,IssueDate,OBJECTID
14-011038,604,AMESBURY AVE,,MISSISSAUGA,L5R 3J5,Second Unit,2014-10-06,1
14-012369,740,ANNAMORE RD,,MISSISSAUGA,L4Y2V7,Second Unit,2014-10-28,2
15-012553,5227,ASTWELL AVE,,MISSISSAUGA,L5R3H8,Second Unit,2015-12-07,3
14-009367,3032,BALLAD DR,,MISSISSAUGA,L4T1Z7,Second Unit,2014-09-16,4
15-001777,1801,BALSAM AVE,,MISSISSAUGA,L5J1L3,Second Unit,2015-02-05,5
15-012472,1491,BANCROFT DR,,MISSISSAUGA,L5V 1M3,Second Unit,2015-12-07,6
15-007735,221,BARONDALE DR,,MISSISSAUGA,L4Z 3N7,Second Unit,2015-10-30,7
15-001785,3014,BAYBERRY DR,,MISSISSAUGA,L5N 6N4,Second Unit,2015-09-16,8
15-001913,5783,BELL HARBOUR DR,,MISSISSAUGA,L5M 5L3,Second Unit,2016-01-20,9
14-009921,4125,BISHOPSTOKE LANE,,MISSISSAUGA,L4Z 1J1,Second Unit,2014-09-05,10
15-001876,4597,BISMARK CRES,,MISSISSAUGA,L5R 1K1,Second Unit,2015-06-12,11
15-010573,74,BONHAM BLVD,,MISSISSAUGA,L5M 2N8,Second Unit,2015-10-06,12
15-009316,4160,BRANDON GATE DR,,MISSISSAUGA,L4T3P2,Second Unit,2016-02-10,13
15-009735,5684,BRIGHTPOOL CR,,MISSISSAUGA,L5M3W3,Second Unit,2015-09-23,14
14-012807,1622,BRISTOL RD W,,MISSISSAUGA,L5M 4B5,Second Unit,2015-11-12,15
15-009756,3269,BRUZAN  CRES,,MISSISSAUGA,L5N 8E2,Second Unit,2015-11-03,16
15-002371,9,BURLINGTON ST,,MISSISSAUGA,L4T1B6,Second Unit,2015-08-17,17
14-012994,1615,CAROLYN RD,,MISSISSAUGA,L5M2C9,Second Unit,2015-12-22,18
14-009791,7446,CATALPA RD,,MISSISSAUGA,L4T 2T3,Second Unit,2014-09-16,19
14-010085,4,CATTRICK ST,,MISSISSAUGA,L4T 1H5,Second Unit,2015-11-20,20
15-012896,4135,CHADBURN CRES,,MISSISSAUGA,L5L 3X1,Second Unit,2016-01-08,21
14-012387,1050,CHARMINSTER CRES,,MISSISSAUGA,L5V 1R1,Second Unit,2014-11-11,22
15-001929,1110,CHARMINSTER CRES,,MISSISSAUGA,L5V 1P9,Second Unit,2016-01-14,23
14-013369,1496,CHIDDINGSTONE CIR,,MISSISSAUGA,L5M 3P4,Second Unit,2014-12-03,24
14-013647,7043,CHIGWEL CRT,,MISSISSAUGA,L4T 1N3,Second Unit,2015-02-18,25
14-010709,3270,CLARA DR,,MISSISSAUGA,L4T2C7,Second Unit,2014-09-16,26
14-010879,7282,COLLETT RD,,MISSISSAUGA,L4T 2H7,Second Unit,2015-01-08,27
14-008827,3224,COLONIAL DR,,MISSISSAUGA,L5L 5K8,Second Unit,2014-08-01,28
15-004363,3340,COLONIAL DR,,MISSISSAUGA,L5L5A6,Second Unit,2015-07-23,29
14-011647,3649,COLONIAL DR,,MISSISSAUGA,L5L4N2,Second Unit,2015-07-24,30
15-003537,5568,COSMIC CR,,MISSISSAUGA,L4Z3S1,Second Unit,2016-02-22,31
14-003245,2417,CULVER WAY,,MISSISSAUGA,L5B2P8,Second Unit,2014-07-10,32
15-002484,551,DARALEA  HTS,,MISSISSAUGA,L5A 3H7,Second Unit,2015-08-12,33
15-009311,7626,DARCEL AVE,,MISSISSAUGA,L4T2Y1,Second Unit,2016-02-05,34
15-002363,3711,DARLA DR,,MISSISSAUGA,L4T2E1,Second Unit,2015-02-25,35
14-011585,3373,DELFI RD,,MISSISSAUGA,L5L 1S1,Second Unit,2014-11-27,36
14-012226,7315,DELLAPORT DR,,MISSISSAUGA,L4T 2Y3,Second Unit,2015-01-05,37
14-011394,6085,DOUGUY BLVD,,MISSISSAUGA,L5V 1B2,Second Unit,2014-11-10,38
14-005556,6134,DUFORD DR,,MISSISSAUGA,L5V1A6,Second Unit,2014-09-30,39
