OFFENSETYPE,LOCATION,DAY,TIME,FID
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LAKESHORE RD E,2016-02-16T00:00:00.000Z,2016-02-29T14:37:00.000Z,2001
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LAKESHORE RD E,2016-02-16T00:00:00.000Z,2016-02-29T16:15:00.000Z,2002
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,50-90 BURNHAMTHORPE RD W,2016-01-30T00:00:00.000Z,2016-02-29T20:14:00.000Z,2003
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,56 LAKESHORE RD E,2016-02-20T00:00:00.000Z,2016-02-29T13:43:00.000Z,2004
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LIVING ARTS DR,2016-01-27T00:00:00.000Z,2016-02-29T19:23:00.000Z,2005
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,50-90 BURNHAMTHORPE RD W,2016-01-30T00:00:00.000Z,2016-02-29T20:15:00.000Z,2006
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NEAR 4175 CONFEDERATION PKWY,2016-02-03T00:00:00.000Z,2016-02-29T19:34:00.000Z,2007
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,75 LAKESHORE RD E,2016-02-20T00:00:00.000Z,2016-02-29T14:04:00.000Z,2008
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LIVING ARTS DR,2016-01-27T00:00:00.000Z,2016-02-29T19:25:00.000Z,2009
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,50-90 BURNHAMTHORPE RD W,2016-01-30T00:00:00.000Z,2016-02-29T21:49:00.000Z,2010
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NEAR 4188 LIVING ARTS DR,2016-01-21T00:00:00.000Z,2016-02-29T16:55:00.000Z,2011
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LIVING ARTS DR,2016-01-30T00:00:00.000Z,2016-02-29T14:47:00.000Z,2012
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,50-90 BURNHAMTHORPE RD W,2016-02-02T00:00:00.000Z,2016-02-29T19:46:00.000Z,2013
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,80 LAKESHORE RD E,2016-02-20T00:00:00.000Z,2016-02-29T13:44:00.000Z,2014
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NEAR 4188 LIVING ARTS DR,2016-02-03T00:00:00.000Z,2016-02-29T17:38:00.000Z,2015
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LIVING ARTS DR,2016-01-30T00:00:00.000Z,2016-02-29T14:49:00.000Z,2016
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,50-90 BURNHAMTHORPE RD W,2016-02-03T00:00:00.000Z,2016-02-29T20:08:00.000Z,2017
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,9 STAVEBANK RD N,2016-01-27T00:00:00.000Z,2016-02-29T14:00:00.000Z,2018
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NEAR 4188 LIVING ARTS DR,2016-02-08T00:00:00.000Z,2016-02-29T22:22:00.000Z,2019
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,LIVING ARTS DR,2016-01-30T00:00:00.000Z,2016-02-29T17:52:00.000Z,2020
