COMPLEX.ID,Character.Area,Z.Area,Street.Number,Street.Name,Designation,Zoning,Complex.Name,Site.Area..ha.,Site.Area..acre.,Total.Parking,GFA.Residential..m2.,GFA.Residential..ft2.,GFA.Retail..m2.,GFA.Retail..ft2.,GFA.Total..m2.,GFA.Total..ft2.,Building.Type,Tenure.Residential,Townhouse.Blocks,Storeys.Total,Number.Of.Residential.Units,Number.Of.Retail.Units,Density..Unit.Ha.,Density..Unit.Acre.,FSI,OBJECTID,address,lon,lat
1,Erindale NHD,24,3220-3270,The Credit Woodlands,Medium Density,RM4,,0.93,2.29808,26,NA,NA,0,0,NA,NA,Townhouse,PCC,2,2,26,0,28,11,NA,1,3220-3270 The Credit Woodlands,-79.6561449,43.5574672
2,Erindale NHD,23,3065,Lenester Dr,Medium Density,RM4,,1.54,3.805423,74,NA,NA,0,0,NA,NA,Townhouse,PCC,11,3,59,0,38,16,NA,2,3065 Lenester Dr,-79.6476874,43.5555656
3,Erindale NHD,23,830,Westlock Rd,Medium Density,RM4,,0.51,1.260237,28,NA,NA,0,0,NA,NA,Townhouse,PCC,2,3,22,0,43,17,NA,3,830 Westlock Rd,-79.6417723,43.5662613
4,Erindale NHD,23,806,Stainton Dr,Medium Density,RM4,,0.48,1.186106,25,2321,24983.03606,0,0,2321,24983.03606,Townhouse,PCC,2,2,20,0,42,17,0.483542,4,806 Stainton Dr,-79.6387,43.5642629
5,Erindale NHD,23,830,Stainton Dr,Medium Density,RM4,,1.64,4.052528,156,7990,86003.64418,0,0,7990,86003.64418,Townhouse,PCC,10,3,69,0,42,17,0.487195,5,830 Stainton Dr,-79.637579,43.563372
6,Erindale NHD,23,3025,Cedarglen Gate,Medium Density,RM4,,2.24,5.535161,214,10907,117401.9708,0,0,10907,117401.9708,Townhouse,PCC,13,3,95,0,42,17,0.48692,6,3025 Cedarglen Gate,-79.6399878,43.5612064
7,Erindale NHD,24,3400,The Credit Woodlands,Medium Density,RM4,,2.33,5.757555,135,7292,78490.43471,0,0,7292,78490.43471,Townhouse,RNTL,9,2,67,0,29,12,0.312961,7,3400 The Credit Woodlands,-79.6611903,43.5588508
8,Erindale NHD,24,1300,Forestwood Dr,Medium Density,RM4,The Forestwood,1.13,2.792291,80,4226,45488.28539,0,0,4226,45488.28539,Townhouse,RNTL,5,3,39,0,35,14,0.373982,8,1300 Forestwood Dr,-89.800727,30.284594
9,Erindale NHD,24,33083360,The Credit Woodlands,Medium Density,RM4,,1.29,3.187659,40,NA,NA,0,0,NA,NA,Townhouse,PCC,2,2,40,0,31,13,NA,9,33083360 The Credit Woodlands,-79.6592916,43.5581612
24,Meadowvale NHD,54W,7251,Copenhagen Rd,Medium Density,RM4,,2.54,6.276477,132,10264,110480.7764,0,0,10264,110480.7764,Townhouse,PCC,9,3,87,0,34,14,0.404094,10,7251 Copenhagen Rd,-117.424768,33.9187906
