BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID,lon,lat
City Operated,BRAE BEN GOLF COURSE,5700,TERRY FOX,WAY,,,,MISSISSAUGA,ON,L5V 2W2,1,-79.6958116,43.6014974
City Operated,BRAEBEN ACADEMY CLUBHOUSE,5700,TERRY FOX,WAY,,,,MISSISSAUGA,ON,L5V 2W2,2,-79.6958116,43.6014974
City Operated,BURNHAMTHORPE COMMUNITY CENTRE,1500,GULLEDEN,DR,,,,MISSISSAUGA,ON,L4X2T7,3,-79.5986184,43.6214378
City Operated,C BANQUETS / CITY OF MISSISSAUGA,300,CITY CENTRE,DR,,,,MISSISSAUGA,ON,L5B3C1,4,-79.6442456,43.5887819
City Operated,C CAFE,300,CITY CENTRE,DR,,,GROUND FLOOR,MISSISSAUGA,ON,L5B 3C1,5,-79.6442456,43.5887819
City Operated,CAWTHRA ARENA / SNACK BAR,1399,CAWTHRA,RD,,,,MISSISSAUGA,ON,L5G 4L1,6,-79.5764984,43.5799047
City Operated,CITY OF MISSISSAUGA/PUBLIC MARINA,135,LAKEFRONT PROM,,,,,MISSISSAUGA,ON,L5E3G9,7,-79.5592903,43.5697048
City Operated,ERIN MILLS TWIN ARENA,3205,UNITY,DR,,,,MISSISSAUGA,ON,,8,NA,NA
City Operated,HURON PARK ARENA,830,PAISLEY,BL,W,,,MISSISSAUGA,ON,L5C3P5,9,-79.6303844,43.5594301
City Operated,ICEBREAKERS PUB,705,MATHESON,BLVD,E,,,MISSISSAUGA,ON,L4Z3X9,10,-79.65407,43.6259136
City Operated,MEADOWVALE FOUR RINKS,2160,TORQUAY,MEWS,,,,MISSISSAUGA,ON,L5N2M6,11,-79.7417401,43.5958534
City Operated,MISSISSAUGA VALLEY COMMUNITY CENTRE,1275,MISSISSAUGA VALLEY,BL,,,,MISSISSAUGA,ON,,12,NA,NA
City Operated,PORT CREDIT ARENA,40,STAVEBANK,RD,N,,,MISSISSAUGA,ON,,13,NA,NA
City Operated,TIME OUT,705,MATHESON,BLVD,E,,,MISSISSAUGA,ON,L4Z3X9,14,-79.65407,43.6259136
City Operated,TOMKEN TWIN ARENA,4495,TOMKEN,RD,,,,MISSISSAUGA,ON,L4W1J9,15,-79.6256465,43.624803
City Operated Facility,CLARKSON COMMUNITY CENTRE,2475,TRUSCOTT,DR,,,,MISSISSAUGA,ON,,16,NA,NA
City Operated Facility,LAKEVIEW GOLF COURSE,1190,DIXIE,RD,,,,MISSISSAUGA,ON,L5E2P4,17,-79.5610464,43.5879915
City Operated Facility,MEADOWVALE THEATRE SNACK BAR,6315,MONTEVIDEO,RD,,,,MISSISSAUGA,ON,L5N 4G7,18,-79.7459461,43.5861298
Lunch Counter,7-ELEVEN #3700,6145,VISCOUNT,RD,,UNIT,403,MISSISSAUGA,ON,L4V 1T2,19,-79.618276,43.6902918
Lunch Counter,7-ELEVEN (CANADA STORE #33000),6980,LISGAR,DR,,,,MISSISSAUGA,ON,L5N 8C8,20,-79.783616,43.5762994
Lunch Counter,7-ELEVEN (CANADA STORE #33377),3965,THOMAS,ST,,,,MISSISSAUGA,ON,L5M 7B8,21,-79.7506776,43.5486498
Lunch Counter,7-ELEVEN CANADA / 37001H,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,22,NA,NA
Lunch Counter,7-ELEVEN CANADA STORE 33207,2330,BATTLEFORD,RD,,,,MISSISSAUGA,ON,L5N3K6,23,-79.738936,43.583713
Lunch Counter,A CATERED AFFAIR,1100,BURNHAMTHORPE,RD,W,Unit,26,MISSISSAUGA,ON,L5C 4G4,24,-79.6612622,43.5699763
Lunch Counter,AFGHAN CHAPLEE KABOB,1400,AIMCO,BLVD,,UNIT,H430,MISSISSAUGA,ON,L4W 1B2,25,-79.6274013,43.6341663
Lunch Counter,APPLEWOOD VALUMART,1125,BLOOR,ST,,,,MISSISSAUGA,ON,L4Y 2N6,26,-79.6014269,43.6115997
Lunch Counter,ARAMARK #3962 / APPLEWOOD HEIGHTS SS,945,BLOOR,ST,,,,MISSISSAUGA,ON,L4Y2M8,27,-79.6049374,43.6065758
Lunch Counter,ARAMARK #3965 / CAWTHRA PARK SS,1305,CAWTHRA,RD,,,,MISSISSAUGA,ON,,28,NA,NA
Lunch Counter,ARAMARK #3969 / ERINDALE SS,2021,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5K1R2,29,-79.6666998,43.5391022
Lunch Counter,ARAMARK #3979 / MISSISSAUGA SS,550,COURTNEYPARK,DR,W,,,MISSISSAUGA,ON,L5W 1L9,30,-79.707033,43.6239006
Lunch Counter,ARAMARK / BRITANNIA ADULT CENTER,100,ELM,DR,W,,,MISSISSAUGA,ON,L5B1L9,31,-79.6330164,43.5883508
Lunch Counter,ARAMARK / CLARKSON SS,2524,BROMSGROVE,RD,,,,MISSISSAUGA,ON,L5J1L8,32,-79.6456491,43.50386
Lunch Counter,ARAMARK / GLENFOREST SS,3575,FIELDGATE,DR,,,,MISSISSAUGA,ON,L4X2J6,33,-79.592299,43.6267959
Lunch Counter,ARAMARK / GORDON GRAYDON MEMORIAL SS,1490,OGDEN,AVE,,,,MISSISSAUGA,ON,L5E 2H8,34,-79.5719333,43.5857246
Lunch Counter,ARAMARK / JOHN FRASER SS,2665,ERIN CENTRE,BL,,,,MISSISSAUGA,ON,,35,NA,NA
Lunch Counter,ARAMARK / LINCOLN M ALEXANDER SS,3545,MORNING STAR,DR,,,,MISSISSAUGA,ON,L4T1Y3,36,-79.6400348,43.7242919
Lunch Counter,ARAMARK / LORNE PARK SS,1324,LORNE PARK,RD,,,,MISSISSAUGA,ON,L5H3B1,37,-79.6245936,43.5316913
Lunch Counter,ARAMARK / MEADOWVALE SS,6700,EDENWOOD,DR,,,,MISSISSAUGA,ON,L5N3B2,38,-79.7620673,43.5780737
Lunch Counter,ARAMARK / MORNING STAR MIDDLE SCHOOL,3131,MORNING STAR,DR,,,,MISSISSAUGA,ON,L4T 1X3,39,-79.6477544,43.7143285
Lunch Counter,ARAMARK / PORT CREDIT SS,70,MINEOLA,RD,E,,,MISSISSAUGA,ON,L5G2E5,40,-79.5880858,43.56284
