LicenceNumber,House,Street,Unit,City,PostalCode,LicenceType,IssueDate,OBJECTID,lon,lat
14-011038,604,AMESBURY AVE,,MISSISSAUGA,L5R 3J5,Second Unit,2014-10-06,1,-79.6724878,43.600417
14-012369,740,ANNAMORE RD,,MISSISSAUGA,L4Y2V7,Second Unit,2014-10-28,2,-79.6152925,43.6082665
15-012553,5227,ASTWELL AVE,,MISSISSAUGA,L5R3H8,Second Unit,2015-12-07,3,-79.6751186,43.5975371
14-009367,3032,BALLAD DR,,MISSISSAUGA,L4T1Z7,Second Unit,2014-09-16,4,-79.6514386,43.7136273
15-001777,1801,BALSAM AVE,,MISSISSAUGA,L5J1L3,Second Unit,2015-02-05,5,-79.6310863,43.5169635
15-012472,1491,BANCROFT DR,,MISSISSAUGA,L5V 1M3,Second Unit,2015-12-07,6,-79.7142209,43.6012363
15-007735,221,BARONDALE DR,,MISSISSAUGA,L4Z 3N7,Second Unit,2015-10-30,7,-79.6603851,43.619363
15-001785,3014,BAYBERRY DR,,MISSISSAUGA,L5N 6N4,Second Unit,2015-09-16,8,-79.7809884,43.5946393
15-001913,5783,BELL HARBOUR DR,,MISSISSAUGA,L5M 5L3,Second Unit,2016-01-20,9,-79.7284197,43.5726557
14-009921,4125,BISHOPSTOKE LANE,,MISSISSAUGA,L4Z 1J1,Second Unit,2014-09-05,10,-79.6345956,43.5996357
15-001876,4597,BISMARK CRES,,MISSISSAUGA,L5R 1K1,Second Unit,2015-06-12,11,-79.6521403,43.6009399
15-010573,74,BONHAM BLVD,,MISSISSAUGA,L5M 2N8,Second Unit,2015-10-06,12,-79.7247388,43.5787134
15-009316,4160,BRANDON GATE DR,,MISSISSAUGA,L4T3P2,Second Unit,2016-02-10,13,-79.6321391,43.7308295
15-009735,5684,BRIGHTPOOL CR,,MISSISSAUGA,L5M3W3,Second Unit,2015-09-23,14,-79.7085232,43.5868289
14-012807,1622,BRISTOL RD W,,MISSISSAUGA,L5M 4B5,Second Unit,2015-11-12,15,-79.7001951,43.5848105
15-009756,3269,BRUZAN  CRES,,MISSISSAUGA,L5N 8E2,Second Unit,2015-11-03,16,-79.7417401,43.6118962
15-002371,9,BURLINGTON ST,,MISSISSAUGA,L4T1B6,Second Unit,2015-08-17,17,-79.6460878,43.7022462
14-012994,1615,CAROLYN RD,,MISSISSAUGA,L5M2C9,Second Unit,2015-12-22,18,-79.6966884,43.5833034
14-009791,7446,CATALPA RD,,MISSISSAUGA,L4T 2T3,Second Unit,2014-09-16,19,-79.6454737,43.7213809
14-010085,4,CATTRICK ST,,MISSISSAUGA,L4T 1H5,Second Unit,2015-11-20,20,-79.6509123,43.7006853
15-012896,4135,CHADBURN CRES,,MISSISSAUGA,L5L 3X1,Second Unit,2016-01-08,21,-79.7040524,43.5387787
14-012387,1050,CHARMINSTER CRES,,MISSISSAUGA,L5V 1R1,Second Unit,2014-11-11,22,-79.6795031,43.5876853
15-001929,1110,CHARMINSTER CRES,,MISSISSAUGA,L5V 1P9,Second Unit,2016-01-14,23,-79.6814322,43.5880093
14-013369,1496,CHIDDINGSTONE CIR,,MISSISSAUGA,L5M 3P4,Second Unit,2014-12-03,24,-79.6902881,43.5781899
14-013647,7043,CHIGWEL CRT,,MISSISSAUGA,L4T 1N3,Second Unit,2015-02-18,25,-79.6231897,43.7221598
14-010709,3270,CLARA DR,,MISSISSAUGA,L4T2C7,Second Unit,2014-09-16,26,-79.6477544,43.7196628
14-010879,7282,COLLETT RD,,MISSISSAUGA,L4T 2H7,Second Unit,2015-01-08,27,-79.6493334,43.7095822
14-008827,3224,COLONIAL DR,,MISSISSAUGA,L5L 5K8,Second Unit,2014-08-01,28,-79.6917786,43.5230871
15-004363,3340,COLONIAL DR,,MISSISSAUGA,L5L5A6,Second Unit,2015-07-23,29,-79.6966884,43.5229378
